	samples	labels	predictions	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products	experiment
5	L00708	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.0	0.11044077044625283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8895592295537473	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
6	L00731	processed meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.03125	0.625	0.0	0.0	0.0	0.013888888888888888	0.003472222222222222	0.0	0.08333333333333333	0.14583333333333334	0.0	0.0	0.06597222222222222	0.0	0.024305555555555556	0.006944444444444444	Source_2n1_up
7	L00737	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.006944444444444444	0.0	0.03125	0.8680555555555556	0.0	0.0	0.03125	0.0	0.0	0.0	Source_2n1_up
8	L00772	processed meat, cattle	processed meat, cattle	0.0	0.0	0.0	0.06597222222222222	0.11458333333333333	0.0	0.14930555555555555	0.0	0.0	0.0	0.0	0.6631944444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.006944444444444444	Source_2n1_up
9	L00854	shrimp, aquatic products	eel, aquatic products	0.0	0.41009303651926055	0.0	0.024305555555555556	0.08680555555555555	0.0	0.0	0.0	0.013888888888888888	0.03125	0.0	0.027777777777777776	0.04861111111111111	0.0	0.0	0.2986111111111111	0.0	0.013888888888888888	0.04476807459185044	Source_2n1_up
10	L00861	fresh meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.006944444444444444	0.0	0.03125	0.8680555555555556	0.0	0.0	0.03125	0.0	0.0	0.0	Source_2n1_up
11	L00868	salmon, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_2n1_up
12	L00902	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.0	0.021701388888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9782986111111112	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
13	L00920	processed meat, cattle	fresh meat, chicken	0.0	0.0	0.0	0.2500534188034188	0.6805555555555556	0.003472222222222222	0.010416666666666666	0.017361111111111112	0.0	0.0	0.0	0.038141025641025644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
14	L00992	processed meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.5109640552348885	0.04513888888888889	0.0	0.013888888888888888	0.024305555555555556	0.013888888888888888	0.0	0.0	0.38139705587622263	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
15	L01101	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003472222222222222	0.0	0.0	0.0	0.0	0.0	0.006944444444444444	0.0	0.0	0.9895833333333334	Source_2n1_up
16	L01201	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.006944444444444444	0.9131944444444444	0.0	0.0	0.0	0.006944444444444444	0.03819444444444445	0.003472222222222222	0.006944444444444444	0.013888888888888888	0.0	0.0	0.010416666666666666	0.0	0.0	0.0	Source_2n1_up
17	L01230	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Source_2n1_up
18	L01372	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.006944444444444444	0.006944444444444444	0.9548611111111112	0.0	0.0	0.0	0.0	0.003472222222222222	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
19	L01435	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.5109640552348885	0.04513888888888889	0.0	0.013888888888888888	0.024305555555555556	0.013888888888888888	0.0	0.0	0.38139705587622263	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
